praf,pmek,plcg,PIP2,PIP3,p44/42,pakts473,PKA,PKC,P38,pjnk
39.2,8.9,4.26,9.22,1.88,25.9,46.6,223.0,3.02,31.6,65.5
42.6,20.2,12.1,1.45,40.0,30.2,51.9,264.0,5.94,14.1,16.1
5.88,17.9,3.43,2.19,18.1,105.0,300.0,1928.0,6.98,20.5,12.9
34.3,18.8,3.65,1.7,16.5,352.0,519.0,1263.0,18.3,59.4,35.9
24.6,16.0,6.92,9.39,8.06,15.7,53.8,346.0,9.31,18.1,12.5
36.2,15.7,1.0,65.5,31.3,30.5,66.1,874.0,11.4,26.2,8.66
2.81,10.3,4.37,1.0,6.26,30.5,105.0,483.0,17.2,32.8,6.44
45.3,13.9,6.79,12.2,13.6,26.9,39.6,578.0,15.7,41.0,37.2
15.3,25.7,3.37,3.52,11.9,9.65,17.5,382.0,9.22,25.9,14.2
40.3,17.9,2.81,2.17,1.0,49.1,77.0,1568.0,17.5,32.2,5.23
64.9,54.2,1.0,21.5,7.7,1.0,1.55,50.9,12.7,37.9,2.67
30.0,22.1,4.87,1.12,9.22,3.92,46.6,173.0,17.2,25.0,10.6
30.5,22.5,13.2,1.01,21.9,22.3,36.8,223.0,12.0,26.2,25.0
25.0,34.0,2.29,1.01,15.1,7.3,16.1,276.0,13.6,38.5,60.4
28.4,19.8,10.2,4.57,30.8,6.38,18.1,973.0,21.9,47.8,18.9
65.5,56.7,1.0,2.41,2.05,126.0,204.0,2207.0,12.1,20.4,23.9
35.2,18.6,3.22,2.81,26.4,25.5,172.0,200.0,27.1,40.3,15.1
34.3,20.5,8.51,1.0,30.2,40.3,130.0,890.0,22.1,76.4,51.4
61.0,38.9,3.46,5.19,26.2,12.0,24.6,487.0,14.7,21.3,13.8
48.7,20.4,1.19,2.5,11.8,12.6,24.4,316.0,24.4,37.5,21.1
35.5,13.8,8.28,7.99,17.2,45.3,77.0,1526.0,42.2,110.0,34.9
31.9,44.1,5.42,1.31,6.32,13.8,13.3,349.0,12.7,23.3,9.39
42.6,25.5,7.3,1.0,21.5,33.7,49.6,396.0,59.4,85.1,19.6
78.4,21.9,9.31,4.66,44.9,10.7,26.4,866.0,17.2,21.9,7.84
44.1,24.1,5.38,132.0,16.5,18.1,37.5,1219.0,3.05,17.6,63.8
47.4,19.3,1.0,1.68,10.2,10.2,38.2,661.0,21.1,45.7,21.7
105.0,41.4,2.69,3.82,9.56,28.6,59.9,362.0,17.0,25.5,12.0
56.2,38.9,12.0,9.39,11.7,66.1,125.0,638.0,13.2,50.0,6.67
72.3,24.4,5.28,179.0,35.2,22.1,42.6,196.0,26.9,38.9,20.7
45.7,13.1,1.91,6.79,6.32,29.7,49.1,382.0,16.7,39.2,22.9
56.7,25.5,1.84,1.0,25.7,6.98,31.9,851.0,8.51,20.5,160.0
79.1,48.7,3.75,4.14,24.1,27.1,44.1,221.0,31.9,38.5,21.1
15.4,23.9,1.86,6.26,32.8,41.4,68.5,331.0,5.99,5.05,44.5
21.7,10.6,7.57,2.46,16.1,29.4,64.4,1155.0,30.2,77.0,28.1
36.8,22.5,9.65,1.43,3.13,15.1,58.3,75.7,13.2,26.2,12.4
52.8,17.5,5.94,179.0,14.6,11.5,22.1,457.0,13.9,39.2,18.4
30.8,11.1,2.86,1.06,18.6,24.6,44.1,500.0,19.1,37.9,21.3
21.1,20.7,22.9,4.66,13.1,10.3,22.1,334.0,20.9,32.2,15.7
26.4,24.1,9.39,3.31,24.8,14.5,41.8,906.0,13.1,30.8,10.3
36.8,25.9,10.2,1.96,35.9,46.6,111.0,947.0,23.1,50.0,35.5
20.2,15.8,9.06,4.45,9.91,19.5,110.0,1358.0,16.5,35.9,17.8
48.7,42.6,3.52,6.73,7.37,11.8,23.7,175.0,49.6,85.1,11.3
43.7,8.82,8.82,2.74,6.85,20.5,27.6,281.0,13.0,24.1,18.1
37.2,24.4,2.69,3.0,19.5,21.7,41.0,349.0,8.35,24.4,9.82
69.2,26.9,15.4,3.22,20.2,25.0,83.5,644.0,15.8,26.4,8.9
40.0,25.9,5.42,4.18,8.13,13.0,29.4,250.0,2.23,21.3,37.9
30.5,15.4,2.64,147.0,47.8,61.0,131.0,1778.0,21.9,44.1,18.9
